"truth","n. 真理,事实,真相,实际","tru:θ","",1
"video","n. 录像，视频","'vidiәu","",1
"year","n. 年","jiә","",1
"café","n. 咖啡馆;餐馆","","",1
"cage","n 笼；鸟笼","keidʒ","",1
"cake","n. 蛋糕，糕点；饼","keik","",1
"camp","n.（夏令）营 vi. 野营,宿营","kæmp","",1
"can","v. 可能；能够；可以 n.（美）罐头；罐子","kæn","",1
"cause","n. 原因，起因 vt. 促使，引起，使发生","kɒ:z","",1
"deal","n. 量，数额；交易","di:l","",1
"describe","vt. 描写，叙述","di'skraib","",1
"helpful","adj. 有帮助的，有益的","'helpful","",1
"most","adj. & ad. 最多 n. 大部分,大多数","mәust","",1
"nature","n. 自然, 性质，种类","'neitʃә","",1
"nest","n. 巢；窝","nest","",1
"rich","adj. 富裕的，有钱的","ri:tʃ","",1
"rude","adj. 无理的, 粗鲁的","ru:d","",1
"screen","n. 幕，荧光屏","skri:n","",1
"she","pron. 她","ʃi:","",1
"shy","adj. 害羞的","ʃai","",1
"success","n. 成功","sәk'ses","",1
"sure","adj. 确信，肯定 ad. (口语)的确，一定，当然","ʃuә","",1
"trade","n. 商业,贸易 vt. 交易","treid","",1
"unlike","prep. 不像，和…不同",".ʌn'laik","",1
"welcome","int.n. & v. 欢迎 a. 受欢迎的","'welkәm","",1
"close","adj. 亲密的；近，靠近 ad. 近，靠近 vt. 关，关闭","klәuz","",1
"course","n. 过程；经过；课程","kɒ:s","",1
"film","n. 电影；影片；胶卷","film","",1
"left","adj. 左边的 ad. 向左 n. 左,左边","left","",1
"special","adj. 特别的，专门的","'speʃәl","",1
"tailor","n. 裁缝","'teilә","",1
"thought","n. 思考,思想;念头","θɒ:t","",1
"touch","vt. 触摸，接触","tʌtʃ","",1
"low","a.& ad. 低；矮","lәu","",1
"mistake","n. 错误 vt. 弄错","mis'teik","",1
"paper","n. 纸；报纸","'peipә","",1
"permit","vt. 许可,允许;执照 n. 许可证","pә'mit","",1
"stay","n.& vi. 停留，逗留，呆","stei","",1
"study","v. 学习；研究 n. 书房","'stʌdi","",1
"surf","v. 冲浪","sә:f","",1
"wide","adj. 宽阔的","waid","",1
"bury","vt. 埋；葬","'beri","",1
"but","conj. 但是，可是 prep. 除了, 除……外","bʌt","",1
"buy","vt. 买","bai","",1
"cd","光盘 (compact disk的缩写)","","",1
"computer","n. 电子计算机","kәm'pju:tә","",1
"direction","n. 方向；方位","di'rekʃәn","",1
"fish","n. 鱼；鱼肉 vi. 钓鱼；捕鱼","fiʃ","",1
"flight","n. 航班,飞行","flait","",1
"metre","n. 米，公尺","'mi:tә","",1
"month","n. 月，月份","mʌnθ","",1
"pick","v. 拾起，采集；挑选","pik","",1
"weight","n. 重，重量","weit","",1
"zero","n. & num. 零,零度,零点","'ziәrәu","",1
"artist","n. 艺术家,美术家","'ɑ:tist","",1
"bike","n. 自行车","baik","",1
"broken","adj. 弄坏了的","'brәukәn","",1
"collect","vt. 收集，搜集","kә'lekt","",1
"fact","n. 事实，现实","fækt","",1
"fly","vi. 飞；飞行；飘动 vt. 放（风筝、飞机模型等）n. 苍蝇","flai","",1
"game","n. 游戏；运动；比赛","geim","",1
"internet","n. 互联网，英特网","'intәnet","",1
"kind","n. 种;类 a. 善良,友好的","kaind","",1
"korean","n.朝鲜的；韩国的；韩国的人","kә'riәn","",1
"ms.","n. 女士(用在婚姻状况不明的女子姓名前)","miz","",1
"pair","n. 一双，一对","pєә","",1
"pink","adj. 粉红色的","piŋk","",1
"prize","n. 奖赏，奖品","praiz","",1
"today","ad.& n. 今天;现在,当前","tә'dei","",1
"unknown","adj. 不知道的",".ʌn'nәun","",1
"yet","adv. 尚，还，仍然","jet","",1
"behind","prep. (表示位置)在…后面 ad. 在后面；向后","bi'haind","",1
"birthday","n. 生日","'bә:θdei","",1
"bridge","n. 桥","bridʒ","",1
"discuss","vt. 讨论，议论","dis'kʌs","",1
"empty","adj. 空的","'empti","",1
"finish","v. 结束；做完","'finiʃ","",1
"fresh","adj. 新鲜的","freʃ","",1
"land","n. 陆地,土地 v. 登岸(陆)降落","lænd","",1
"member","n. 成员，会员","'membә","",1
"mirror","n. 镜子","'mirә","",1
"ready","adj. 准备好的","'redi","",1
"sheet","n. 成幅的薄片，薄板","ʃi:t","",1
"since","adv. 从那时以来 conj. 从…以来，…以后，由于 prep. 从…以来","sins","",1
"sky","n. 天；天空","skai","",1
"someone","pron. 某一个人","'sʌmwʌn","",1
"steal","vt. 偷, 窃取","sti:l","",1
"steep","adj. 险峻的；陡峭的","sti:p","",1
"watch","vt. 观看，注视；当心，注意 n. 手表，表","wɒtʃ","",1
"capital","n.首都,省会,大写；资本","'kæpitәl","",1
"certain","adj. （未指明真实名称的）某…；确定的，无疑的；一定会…","'sә:tәn","",1
"certainly","adv. 当然；一定，无疑","'sә:tәnli","",1
"child","n. 孩子，儿童","tʃaild","",1
"crash","v. / n. 碰撞，撞击","kræʃ","",1
"crop","n. 庄稼；收成","krɒp","",1
"expensive","adj. 昂贵的","ik'spensiv","",1
"great","adj. 伟大的,重要的,好极了 ad.（口语）好极了，很好","greit","",1
"hold","vt. 拿；抱；握住；举行；进行","hәuld","",1
"hole","n. 洞，坑","hәul","",1
"hour","n. 小时","auә","",1
"imagine","vt. 想像，设想","i'mædʒin","",1
"noise","n. 声音，噪声，喧闹声","nɒiz","",1
"nothing","n. 没有东西,没有什么","'nʌθiŋ","",1
"poor","adj. 贫穷；可怜；不好的,差的","puә. pɒ:","",1
"put","vt. 放，摆","put","",1
"rock","n. 岩石,大石头 vt. 摇,摇晃","rɒk","",1
"severe","adj. 极为恶劣,十分严重的","si'viә","",1
"speech","n. 演讲","spi:tʃ","",1
"supper","n. 晚餐，晚饭","'sʌpә","",1
"voice","n. 说话声; 语态","vɒis","",1
"whenever","conj. 每当，无论何时","hwen'evә","",1
"whole","adj. 整个的","hәul","",1
"board","n. 木板；布告牌;（政府的）部 v. 上（船、火车、飞机）","bɒ:d","",1
"car","n. 汽车，小卧车","kɑ:","",1
"dialogue","n. 对话","'daiәlɒg","",1
"fork","n. 叉，餐叉","fɒ:k","",1
"france","n. 法国","frɑ:ns","",1
"green","adj. 绿色的；青的 n. 绿色","gri:n","",1
"inspect","vt. 检查；检验；审视","in'spekt","",1
"minute","n. 分钟;一会儿，瞬间","'minit. mai'nju:t","",1
"music","n. 音乐，乐曲","'mju:zik","",1
"place","n. 地方，处所 v. 放置，安置，安排","pleis","",1
"plastic","adj. 塑料的","'plæstik","",1
"sleep","vi. 睡觉","sli:p","",1
"ticket","n. 票；卷","'tikit","",1
"yourself","pron. 你自己","juә'self","",1
"bread","n. 面包","bred","",1
"do","v. & aux. 做，干","du:","",1
"drop","n.滴 v.掉下,落下,投递,放弃","drɒp","",1
"each","a.& pron. 每人,每个,每件","i:tʃ","",1
"eat","v. 吃","i:t","",1
"encourage","vt. 鼓励","in'kʌridʒ","",1
"five","num. 五","faiv","",1
"four","num. 四","fɒ:","",1
"hair","n. 头发","hєә","",1
"hall","n. 大厅,会堂,礼堂;过道","hɒ:l","",1
"ham","n. 火腿","hæm","",1
"have","vt. 有；吃；喝；进行；经受","hæv","",1
"least","n. 最少，最少量","li:st","",1
"matter","n. 要紧事，要紧, 事情；问题 vi. 要紧，有重大关系","'mætә","",1
"pain","n. 疼痛，疼","pein","",1
"pale","adj. 苍白的，灰白的","peil","",1
"promise","n.& vi. 答应，允诺","'prɒmis","",1
"round","adv. 转过来 prep. 环绕一周，围着 a. 圆的；球形的","raund","",1
"side","n. 边，旁边，面，侧面","said","",1
"valley","n. 山谷, 溪谷","'væli","",1
"yes","adv. 是，好，同意","jes","",1
"daily","adj. 每日的；日常的 ad. 每天 n. 日报","'deili","",1
"far","(farther, farthest 或further , furthest) a.& ad. 远的；远地","fɑ:","",1
"gun","n.炮，枪","gʌn","",1
"hotel","n. 旅馆，饭店，宾馆","hәu'tel","",1
"increase","v. & n. 增加，繁殖","in'kri:s","",1
"join","v. 参加,加入;连接;会合","dʒɒin","",1
"notebook","n. 笔记簿","'nәutbuk","",1
"protect","vt. 保护","prә'tekt","",1
"rest","n. 休息；剩余的部分，其余的人（物） vi. 休息，歇息","rest","",1
"room","n. 房间,室;空间;地方","ru:m","",1
"sale","n. 卖，出售","seil","",1
"scientist","n. 科学家","'saiәntist","",1
"sometimes","adv. 有时","'sʌmtaimz","",1
"thief","n. 窃贼, 小偷","θi:f","",1
"this","a.& pron.这，这个","θis","",1
"translate","vt. 翻译","træns'leit","",1
"travel","n.& vi. 旅行","'trævl","",1
"traveler","n. 旅行者","'trævlә","",1
"able","adj. 能够;有能力的","'eibl","",1
"advice","n. 忠告，劝告，建议","әd'vais","",1
"aunt","n. 伯母；舅母；婶；姑；姨","ɑ:nt","",1
"big","adj. 大的","big","",1
"bottom","n. 底部；底","'bɒtәm","",1
"difference","n. 不同","'difәrәns","",1
"draw","v. 绘画；绘制；拉，拖；提取（金钱）","drɒ:","",1
"drawer","n. 抽屉","'drɒ:ә","",1
"drawing","n. 图画，素描,绘画","'drɒ:iŋ","",1
"enough","n. 足够；充足 a. 足够；充分的 ad. 足够地；充分地","i'nʌf","",1
"enter","vt. 进入","'entә","",1
"jeep","n. 吉普车","dʒi:p","",1
"journey","n. 旅行，路程","'dʒә:ni","",1
"leave","v. 离开;把…留下，剩下","li:v","",1
"mind","n. 思想,想法 v.介意,关心","maind","",1
"narrow","adj. 狭窄的","'nærәu","",1
"port","n. 港口，码头","pɒ:t","",1
"prepare","vt. 准备,预备,调制,配制","pri'pєә","",1
"queue","n. 行列，长队","kju:","",1
"shall","v. aux.（表示将来）将要，会；…好吗","ʃæl","",1
"speak","v. 说，讲；谈话；发言","spi:k","",1
"ten","num. 十","ten","",1
"unusual","adj. 不平常的，异常的",".ʌn'ju:ʒu:l","",1
"alone","adj. 单独的，孤独的","ә'lәun","",1
"anyone","pron. 任何人，无论谁","'eniwʌn","",1
"arm","n. 臂,支架,（美）武器,武力","ɑ:m","",1
"army","n. 军队","'ɑ:mi","",1
"beside","prep. 在…旁边；靠近","bi'said","",1
"besides","prep. 除…以外（还有） ad. 还有，此外","bi'saidz","",1
"billion","num. 十亿","'biljәn","",1
"cat","n. 猫","kæt","",1
"diagram","n. 图表，图样","'daiәɡræm","",1
"ear","n.耳朵.耳状物；听力，听觉","iә","",1
"early","adj. 早的 ad. 早地","'ә:li","",1
"exercise","n. 锻炼，做操；练习，习题 vi. 锻炼","'eksәsaiz","",1
"fit","adj. 健康的,适合的 v.（使）适合,安装","fit","",1
"fourth","num. 第四","fɒ:θ","",1
"ink","n. 墨水，油墨","iŋk","",1
"invite","vt. 邀请，招待","in'vait","",1
"leader","n. 领袖，领导人","'li:dә","",1
"listen","vi. 听,仔细听","'lisn","",1
"menu","n. 菜单","'menju:","",1
"neither","a.（两者）都不;也不","'naiðә","",1
"old","adj. 老的，旧的","әuld","",1
"pig","n. 猪","pig","",1
"pity","n. 怜悯，同情","'piti","",1
"popular","adj. 流行,大众,受欢迎的","'pɒpjulә","",1
"regard","v. 把…看作","ri'gɑ:d","",1
"rob","v. 抢夺，抢劫","rɒb","",1
"slow","adv. 慢慢地，缓慢地","slәu","",1
"story","n. 故事，小说","'stɒ:ri","",1
"suggestion","n. 建议","sә'dʒestʃәn","",1
"suit","vt. 适合 n. 一套（衣服）","sju:t. su:t","",1
"swim","vi. 游泳,游 n. 游泳，游","swim","",1
"swing","vt. 挥舞，摆动 n. 秋千","swiŋ","",1
"warm","adj. 暖和的,温暖的;热情的","wɒ:m","",1
"arrive","vi. 到达；达到","ә'raiv","",1
"boat","n. 小船，小舟","bәut","",1
"bowl","n. 碗","bәul","",1
"care","n. 照料，保护；小心 v. 介意…，在乎；关心","kєә","",1
"carry","vt. 拿，搬，带，提，抬，背，抱，运等","'kæri","",1
"confident","adj. 自信的","'kɒnfidәnt","",1
"cry","n. 叫喊；哭声 v. 喊叫；哭","krai","",1
"difficulty","n. 困难，费力","'difikәlti","",1
"friend","n. 朋友","frend","",1
"friendly","adj. 友好的","'frendli","",1
"grow","v. 生长；发育；种植；变成","grәu","",1
"hero","n. 英雄，勇士，男主角","'hiәrәu","",1
"hundred","num. 百","'hʌndrәd","",1
"judge","n. 裁判；审判员；法官 vt. 判断，断定","dʒʌdʒ","",1
"jump","n. 跳跃；跳变 v. 跳跃；惊起；猛扑","dʒʌmp","",1
"near","adj. 近的 ad. 附近，邻近 prep. 在…附近，靠近","niә","",1
"nearly","adv. 将近，几乎","'niәli","",1
"night","n. 夜；夜间","nait","",1
"parent","n. 父(母)，双亲","'perәnt","",1
"rise","vi. 上升，上涨","raiz","",1
"stick","vi. 粘住，钉住；坚持 n. 木棒（棍）,枝条","stik","",1
"sweep","v. 扫除，扫","swi:p","",1
"talk","n.& v. 谈话,讲话,演讲,交谈","tɒ:k","",1
"temperature","n. 温度","'temprәtʃә","",1
"thousand","num. 千","'θauznd","",1
"agree","v. 同意","ә'gri:","",1
"almost","adv. 几乎，差不多","'ɒ:lmәust","",1
"attack","vt. / n. 攻击，袭击","ә'tæk","",1
"away","adv. 离开；远离","ә'wei","",1
"bedroom","n. 寝室，卧室","'bedrum","",1
"chick","n. 小鸡","tʃik","",1
"city","n. 市，城市，都市","'siti","",1
"club","n. 俱乐部；纸牌中的梅花","klʌb","",1
"cookie","n. 小甜饼","'kuki","",1
"dangerous","adj. 危险的","'deindʒәrәs","",1
"double","adj. 两倍.双的 n. 两个.双","'dʌbl","",1
"fast","adj. 快的，迅速的；紧密的 ad. 快地，迅速地；紧密地","fɑ:st","",1
"fasten","vt. 扎牢；扣住","'fɑ:sәn","",1
"metal","n. 金属 a. 金属制成的","'metәl","",1
"middle","n. 中间;当中;中级的","'midl","",1
"moment","n. 片刻，瞬间","'mәumәnt","",1
"movement","n. 运动，活动","'mu:vmәnt","",1
"normal","n.& a. 正常的（状态）","'nɒ:ml","",1
"obey","v. 服从，顺从，听从","ә'bei","",1
"pack","n. 包,捆;（猎犬、野兽的）一群 v. (为运输或储存而)打包","pæk","",1
"packet","n. 小包裹，袋","'pækit","",1
"panda","n. 熊猫","'pændә","",1
"press","vt. 压,按 n. 新闻界,出版社","pres","",1
"quiz","n. 测验，小型考试","kwiz","",1
"sell","v. 卖，售","sel","",1
"shine","n. 光泽；光彩；阳光；晴天；光(亮)","ʃain","",1
"shirt","n. 男衬衫","ʃә:t","",1
"thus","adv. 这样；因而","ðʌs","",1
"traffic","n. 交通，来往车辆","'træfik","",1
"twin","n. 双胞胎之一","twin","",1
"well-known","adj. 出名,众所周知的","","",1
"whatever","conj. & pron. 无论什么，不管什么","hwɒt'evә","",1
"bake","v. 烤； 烘（面包）","beik","",1
"black","n. 黑色 a. 黑色的","blæk","",1
"bottle","n. 瓶子","'bɒtl","",1
"caption","n.（图片，漫画等的）说明文字","'kæpʃәn","",1
"circle","n. /vt. 圆,环绕","'sә:kl","",1
"dozen","n. 十二个；几十，许多","'dʌzn","",1
"eve","n.前夕","i:v","",1
"except","prep. 除…之外","ik'sept","",1
"fine","adj. 晴朗的；美好的；（身体）健康的","fain","",1
"front","adj. 前面的；前部的 n. 前面；前部；前线","frʌnt","",1
"fun","n. 有趣的事，娱乐，玩笑","fʌn","",1
"funny","adj. 有趣的，滑稽可笑的","'fʌni","",1
"grammar","n. 语法","'græmә","",1
"hope","n.& v. 希望","hәup","",1
"inch","n. 英寸","intʃ","",1
"lesson","n. 课；功课；教训","'lesn","",1
"million","num. 百万 n. 百万个（人或物）","'miljәn","",1
"net","n. 网","net","",1
"office","n. 办公室","'ɒfis","",1
"phone","v. 打电话 n. 电话，电话机","fәun","",1
"picture","n. 图片，画片，照片","'piktʃә","",1
"reply","n. 回答，答复","ri'plai","",1
"snow","n. 雪 vi.下雪","snәu","",1
"stand","n. 站；立；停止；立场；地位；台；坛；摊","stænd","",1
"tall","adj. 高的","tɒ:l","",1
"teach","v. 教书,教","ti:tʃ","",1
"very","adv. 很，非常","'veri","",1
"warning","n. 警报","'wɒ:niŋ","",1
"wave","n.（热、光、声等的）波，波浪 v. 挥手，挥动，波动","weiv","",1
"yard","n. 码；院子；场地","jɑ:d","",1
"although","conj. 虽然，尽管","ɒ:l'ðou","",1
"concert","n. 音乐会；演奏会","'kɒnsәt","",1
"corner","n. 角；角落；拐角","'kɒ:nә","",1
"deeply","adv. 深深地","'di:pli","",1
"education","n. 教育，培养",".edju'keiʃәn","",1
"escape","n.& vi. 逃跑；逃脱","i'skeip","",1
"everyone","pron. 每人，人人","'evriwʌn","",1
"excellent","adj. 极好的，优秀的","'ekslәnt","",1
"eye","n. 眼睛","ai","",1
"forest","n. 森林","'fɒrist","",1
"government","n. 政府","'gʌvәnmәnt","",1
"grateful","adj. 感激的，感谢的","'greitful","",1
"grey","adj. 灰色的；灰白的","grei","",1
"heart","n. 心,心脏,纸牌中的红桃","hɑ:t","",1
"hug","v. 拥抱","hʌg","",1
"i","pron. 我","ai","",1
"ice","n. 冰","ais","",1
"ladder","n. 梯子","'lædә","",1
"london","n. 伦敦","'lʌndәn","",1
"man","n. 成年男人;人类","mæn","",1
"mend","v. 修理，修补","mend","",1
"oil","n. 油","ɒil","",1
"pet","n. 宠物，爱畜","pet","",1
"pile","n./v. 堆","pail","",1
"pill","n. 药丸，药片","pil","",1
"pilot","n. 飞行员","'pailәt","",1
"quiet","adj. 安静的；寂静的","'kwaiәt","",1
"rat","n. 老鼠","ræt","",1
"robot","n. 机器人","'rәubәt","",1
"satisfy","vt. 满足，使满意","'sætisfai","",1
"science","n. 科学，自然科学","'saiәns","",1
"sound","vi. 听起来,发出声音 n. 声音","saund","",1
"spot","n. 斑点，污点；场所，地点 v. 沾上污渍，弄脏","spɒt","",1
"succeed","vi. 成功","sәk'si:d","",1
"super","adj. 顶好的，超级的","'sju:pә","",1
"themselves","pron. 他/她/它们自己","ðәm'selvz","",1
"twice","adv. 两次；两倍","twais","",1
"u",".S.A./USA(缩) = the United States of America 美国（美利坚合众国）","ju:","",1
"walk","n.& v. 步行；散步","wɒ:k","",1
"what","pron. 什么,怎么样 a. 多么，何等；什么","hwɒt","",1
"when","conj. 当…的时候 ad. 什么时候，何时","hwen","",1
"who","pron. 谁","hu:","",1
"whom","pron. (who的宾格 )","hu:m","",1
"why","ad./ int. 为什么, 你难道不知道（表示反驳、不耐烦等）","hwai","",1
"wife","n. 妻子","waif","",1
"will","n. 意志, 遗嘱","wil","",1
"worth","adj. 有…的价值,值得…的","wә:θ","",1
"zoo","n. 动物园","zu:","",1
"age","n. 年龄；时代","eidʒ","",1
"all","adv. 全部地 a. 全（部）;所有的;总;整 pron. 全部;全体","ɒ:l","",1
"anywhere","adv. 任何地方","'enihwєә","",1
"birth","n. 出生；诞生","bә:θ","",1
"blind","adj. 瞎的","blaind","",1
"bookmark","n. 书签","'bukmɑ:k","",1
"bright","adj. 明亮的；聪明的","brait","",1
"chance","n. 机会，可能性","tʃæns. tʃɑ:ns","",1
"coal","n. 煤；煤块","kәul","",1
"coat","n. 外套；涂层；表皮；皮毛","kәut","",1
"cock","n. 公鸡","kɒk","",1
"coffee","n. 咖啡","'kɒfi","",1
"coin","n. 硬币","kɒin","",1
"coke","n. 可口可乐","kәuk","",1
"cook","n. 炊事员,厨师 v. 烹调,做饭","kuk","",1
"cow","n. 母牛，奶牛","kau","",1
"dirt","n. 污物；脏物","dә:t","",1
"dirty","adj. 脏的","'dә:ti","",1
"earth","n. 地球；土，泥；大地","ә:θ","",1
"elevator","n. 电梯,升降梯","'eliveitә","",1
"equal","adj. 平等的 vt. 等于，使等于","'i:kwәl","",1
"fee","n. 费，费用","fi:","",1
"gold","n. 黄金 a 金的，黄金的","gәuld","",1
"guess","vi. 猜","ges","",1
"hear","v. 听见；听说","hiә","",1
"hearing","n. 听力","'hiәriŋ","",1
"hey","int. 嘿！","hei","",1
"invent","vt. 发明，创造","in'vent","",1
"inventor","n. 发明者，创造者","in'ventә","",1
"joke","n. 笑话","dʒәuk","",1
"lab","= laboratory n. 实验室","læb","",1
"lock","n. 锁 vt. 锁，锁上","lɒk","",1
"love","n.& vt. 爱；热爱;很喜欢","lʌv","",1
"lovely","adj. 美好的，可爱的","'lʌvli","",1
"mail","n. 邮政,邮递 v. (美)邮寄","meil","",1
"march","n. 3月","mɑ:tʃ","",1
"miss","vt. 失去，错过，缺","mis","",1
"miss.","n. 小姐,女士(称呼未婚妇女)","","",1
"none","pron. 无任何东西, 无一人","nʌn","",1
"ocean","n. 海洋","'әuʃәn","",1
"phrase","n. 短语；习惯用语","freiz","",1
"quilt","n. 被子；被状物","kwilt","",1
"raise","vt. 使升高；饲养","reiz","",1
"repair","n.& vt. 修理；修补","ri'pєә","",1
"seem","v. 似乎，好像","si:m","",1
"sign","n. 符号，标记","sain","",1
"society","n. 社会","sә'saiәti","",1
"son","n. 儿子","sʌn","",1
"tape","n. 磁带；录音带","teip","",1
"tick","vt. 作记号 n. 记号,符号,滴答声","tik","",1
"tomb","n. 坟墓","tu:m","",1
"tomorrow","adv. & n. 明天","tә'mɒ:rәu","",1
"trap","n. 陷阱 vt. 使陷入困境","træp","",1
"trip","n. 旅行，旅程","trip","",1
"useless","adj. 无用的","'ju:slis","",1
"visit","n.& vt. 参观，访问，拜访","'vizit","",1
"visitor","n. 访问者，参观者","'vizitә","",1
"weigh","vt. 称…的重量，重（若干）","wei","",1
"a","art. 一（个、件……）","ei","",1
"afford","vt. 负担得起（…的费用）；抽得出（时间）；提供","ә'fɒ:d","",1
"ago","adv. 以前","ә'gәu","",1
"angel","n. 天使,守护神","'eindʒәl","",1
"angry","adj. 生气的，愤怒的","'æŋgri","",1
"apologize","vi. 道歉，谢罪","ә'pɒlәdʒaiz","",1
"april","n. 4月","'eiprәl","",1
"arrow","n. 箭；箭头","'ærәu","",1
"believe","v. 相信，认为","bi'li:v","",1
"broadcast","n. /v. 广播","'brɒ:dkæst","",1
"burn","v. 燃烧,着火;使烧焦;使晒黑 n. 烧伤;晒伤","bә:n","",1
"ceiling","n. 天花板，顶棚","'si:liŋ","",1
"clock","n. 钟","klɒk","",1
"cool","adj. 凉的，凉爽的；酷","ku:l","",1
"country","n. 国家；农村，乡下","'kʌntri","",1
"cup","n. 茶杯","kʌp","",1
"cut","v. 切，剪，削，割","kʌt","",1
"cute","adj.可爱的","kju:t","",1
"dead","adj. 死的；无生命的","ded","",1
"dusk","n. 黄昏","dʌsk","",1
"enjoy","vt. 欣赏；享受乐趣；喜欢","in'dʒɒi","",1
"envelope","n. 信封","'envәlәup","",1
"factory","n. 工厂","'fæktәri","",1
"fur","n. 毛皮；皮子","fә:","",1
"hang","v. 悬挂，吊着；把…吊起 hang (hung, hung) 绞死","hæŋ","",1
"hate","vt.& n. 恨，讨厌","heit","",1
"health","n. 健康，卫生","'helθ","",1
"heavily","adv. 重地，大量地","'hevili","",1
"hen","n. 母鸡","hen","",1
"hide","v. 把…藏起来，隐藏","haid","",1
"hurt","vt. 伤害，受伤；伤人感情","hә:t","",1
"impossible","adj. 不可能的","im'pɒsәbl","",1
"japanese","adj. 日本的，日本人的，日语的 n. 日本人，日语",".dʒæpә'ni:z","",1
"lay","vt. 放，搁","lei","",1
"lazy","adj. 懒惰的","'leizi","",1
"letter","n. 信；字母","'letә","",1
"little","adj. 小的,少的 ad. 很少地, 稍许 n. 没有多少","'litl","",1
"living","adj. 活着的 n. 生计","'liviŋ","",1
"lose","vt. 失去，丢失","lu:z","",1
"magazine","n. 杂志",".mægә'zi:n","",1
"minus","prep. & a.负的，减去的","'mainәs","",1
"noon","n. 中午，正午","nu:n","",1
"own","adj. 自己的 v. 拥有,所有","әun","",1
"purple","n. / a. 紫色","'pә:pl","",1
"quit","v. 离任，离校，戒掉","kwit","",1
"quite","adv. 完全，十分","kwait","",1
"restaurant","n. 饭馆, 饭店","'restәrɒŋ","",1
"rough","adj. 粗糙的，粗略的","rʌf","",1
"six","num. 六","siks","",1
"sixth","num. 第六","siksθ","",1
"sixty","num. 六十","'siksti","",1
"snake","n. 蛇 v. 蛇般爬行;蜿蜒行进","sneik","",1
"soft","adj. 软的，柔和的","sɒft","",1
"spit","v. 吐唾沫；吐痰","spit","",1
"spring","n. 春天,春季 n. 泉水,泉","spriŋ","",1
"student","n. 学生","'stju:dnt","",1
"summer","n. 夏天，夏季","'sʌmә","",1
"sun","n. 太阳，阳光","sʌn","",1
"sunny","adj. 晴朗的;阳光充足的","'sʌni","",1
"tent","n. 帐篷","tent","",1
"throw","v. 投,掷,扔","θrәu","",1
"weak","adj. 差的，弱的，淡的","wi:k","",1
"alike","adv. 很相似地，同样地","ә'laik","",1
"asia","n. 亚洲","'eiʒә","",1
"asian","adj. 亚洲（人）的 n. 亚洲人","'eiʃәn","",1
"asleep","adj. 睡着的，熟睡","ә'sli:p","",1
"awake","v. 唤醒 a. 醒着的","ә'weik","",1
"beat","v. 敲打；跳动；打赢 n.（音乐）节拍","bi:t","",1
"boot","n. 长筒靴；靴","bu:t","",1
"brain","n. 脑（子）","brein","",1
"chess","n. 国际象棋,棋","tʃes","",1
"complain","v. 抱怨,投诉","kәm'plein","",1
"cream","n. 奶油，乳脂","kri:m","",1
"culture","n. 文化","'kʌltʃә","",1
"deserve","v.（不用于进行时态）应得，应受","di'zә:v","",1
"destroy","vt. 破坏，毁坏","di'strɒi","",1
"dim","adj. 昏暗的,暗淡的","dim","",1
"drunk","adj. 醉的","drʌŋk","",1
"e-mail","]n. 电子邮件","'i:meil","",1
"ever","adv. 曾经；无论何时","'evә","",1
"fire","n. 火；火炉；火灾 vi. 开火,射击,解雇","'faiә","",1
"fog","n. 雾","fɒg","",1
"fond","adj. 喜爱的，爱好的","fɒnd","",1
"food","n. 食物，食品","fu:d","",1
"fool","n. 傻子，蠢人","fu:l","",1
"foot","n. 足，脚；英尺","fut","",1
"forever","adv. 永远；永恒的","fә'revә","",1
"forget","v. 忘记；忘掉","fә'get","",1
"forth","n. 向前,往外","fɒ:θ","",1
"fox","n. 狐狸","fɒks","",1
"french","n. 法语 a. 法国的；法国人的；法语的","frentʃ","",1
"generous","adj. 慷慨大方的","'dʒenәrәs","",1
"granny","n. 老奶奶；祖母；外婆","'^ræni","",1
"growth","n. 生长，增长","grәuθ","",1
"gym","n.体育馆，健身房","dʒim","",1
"hit","n.& vt. 打,撞,击中","hit","",1
"huge","adj. 巨大的，庞大的","hju:dʒ","",1
"keyboard","n. 键盘","'ki:bɒ:d","",1
"late","adj. 晚的,迟的 ad. 晚地,迟地","leit","",1
"lately","adv. 最近，不久前","'leitli","",1
"midnight","n. 午夜","'midnait","",1
"myself","pron. 我自己","mai'self","",1
"national","adj. 国家的,全国性的，民族的","'næʃәnәl","",1
"noodle","n. 面条","'nu:dl","",1
"ok","ad.（口语）好,对,不错","'әu'kei","",1
"opinion","n. 看法，见解","ә'pinjәn","",1
"orange","n. 橘子，橙子，橘汁 a. 橘色的，橙色的","'ɒ:rindʒ","",1
"owner","n. 物主，所有人","'әunә","",1
"park","n. 公园 vt. 停放（汽车）","pɑ:k","",1
"parking","n. 停车","'pɑ:kiŋ","",1
"patient","n. 病人","'peiʃәnt","",1
"pay","(paid, paid) v. 付钱，给…报酬 n. 工资","pei","",1
"pie","n. 甜馅饼","pai","",1
"pool","n. 水塘，水池","pu:l","",1
"pride","n. 自豪，骄傲","praid","",1
"probably","adv. 很可能，大概","'prɒbәbli","",1
"quarter","n. 四分之一，一刻钟","'kwɒ:tә","",1
"race","n. 种族，民族 v.（速度）竞赛，比赛 n. 赛跑，竞赛","reis","",1
"regulation","n. 规则，规章",".regju'leiʃәn","",1
"road","n. 路，道路","rәud","",1
"rose","n. 玫瑰花","rәuz","",1
"servant","n. 仆人，佣人","'sә:vәnt","",1
